rbd,program_code,program_track,program_specialty_sector,program_specialty_name,program_gender,program_school_day
9801,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9810,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9824,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9827,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9828,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9829,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9834,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9844,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
9845,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9852,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9853,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9860,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
9861,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9862,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9863,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9864,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9865,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9866,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9867,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9887,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9889,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9896,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9897,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9900,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9903,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9905,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
9906,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9907,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9909,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9910,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9911,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
9911,131000000123,General,General academic,Ciclo General / Sin información,Boys,Full day
9912,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
9917,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9919,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
9924,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9926,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9930,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9937,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
9940,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9942,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9945,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9947,131000000123,General,General academic,Ciclo General / Sin información,Boys,Full day
9950,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9955,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9957,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9959,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9959,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
9960,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
9967,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9972,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9973,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
9979,131000000231,General,General academic,Ciclo General / Sin información,Mixed,Morning
9981,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9982,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
9985,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
9986,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10023,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10030,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10042,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10044,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10052,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
10052,131000000132,General,General academic,Ciclo General / Sin información,Mixed,Afternoon
10058,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10069,131000000132,General,General academic,Ciclo General / Sin información,Mixed,Afternoon
10073,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10075,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10076,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10077,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10087,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10091,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10106,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10126,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10130,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
10140,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10158,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10162,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10164,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10187,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
10196,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10199,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10210,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10220,131000000123,General,General academic,Ciclo General / Sin información,Boys,Full day
10223,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10224,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
10232,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10240,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10246,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10248,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10250,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10251,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10252,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10253,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10254,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10255,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10259,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10269,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10313,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10315,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10320,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10329,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10337,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10344,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10350,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
10377,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10385,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10396,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10397,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10399,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10401,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10405,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10408,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10415,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
10419,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10432,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
10433,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10450,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10452,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10453,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10455,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10456,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10457,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10470,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10479,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10482,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
10484,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10487,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10489,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10491,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
10492,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10493,131000000231,General,General academic,Ciclo General / Sin información,Mixed,Morning
10496,131000000123,General,General academic,Ciclo General / Sin información,Boys,Full day
10500,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10501,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10503,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10505,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10506,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10507,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
10515,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
10516,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10520,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10526,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10540,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10541,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
10542,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10543,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10544,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10545,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10551,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10573,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10588,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10592,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10594,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10600,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
10604,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10606,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
10607,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
10608,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10610,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10618,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
10626,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10628,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10632,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
10638,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10640,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10641,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10642,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10645,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10646,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10658,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10662,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10663,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10665,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10666,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10667,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10669,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10685,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10686,131000000231,General,General academic,Ciclo General / Sin información,Mixed,Morning
10696,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10697,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10699,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
10710,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10711,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10713,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
10715,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10717,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10721,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10723,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10725,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10726,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10727,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10734,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10735,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10746,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10749,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10751,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10757,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10772,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10773,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10780,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10781,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
10783,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10792,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10828,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10829,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10830,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
10831,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10832,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
10832,131000000333,General,General academic,Ciclo General / Sin información,Mixed,Full day
10833,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10845,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10851,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10854,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10873,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10892,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10901,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10906,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10911,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10915,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10917,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10962,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10967,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10968,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
10970,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11034,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11038,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11105,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11106,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11110,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11111,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11130,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11133,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
11139,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11144,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11145,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11155,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11157,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11177,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
11199,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11209,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11217,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
11240,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
11248,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11256,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11265,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11287,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11336,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11348,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11397,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11400,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11430,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11498,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11527,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11591,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11608,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11678,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11680,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11706,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11709,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11712,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11716,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11805,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11812,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11818,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11831,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11843,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
11851,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11867,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11883,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11918,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11931,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11936,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11950,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
11965,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
11965,131000000123,General,General academic,Ciclo General / Sin información,Boys,Full day
11993,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
11994,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12001,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12004,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12005,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12006,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12027,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12031,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12032,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12033,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
12037,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12046,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12050,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12059,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12062,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12077,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12085,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12111,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12115,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12117,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12151,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12177,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12183,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12185,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12192,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12217,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12225,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12241,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
12241,131000000123,General,General academic,Ciclo General / Sin información,Boys,Full day
12242,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12244,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12260,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12301,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12305,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
12309,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12312,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12332,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12336,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12368,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12509,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
12515,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12518,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12534,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12547,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12551,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12566,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12573,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
12587,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12590,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
12591,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12594,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12602,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12603,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12604,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12605,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12610,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12630,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12631,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12632,131000000132,General,General academic,Ciclo General / Sin información,Mixed,Afternoon
12632,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12649,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12650,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12652,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12655,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12658,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12667,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12672,131000000123,General,General academic,Ciclo General / Sin información,Boys,Full day
12686,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12712,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12713,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12716,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12719,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12720,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12741,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12747,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12749,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12759,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12762,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
12767,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12775,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12779,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12800,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12802,131000000111,General,General academic,Ciclo General / Sin información,Girls,Morning
12823,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12830,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12836,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12837,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12838,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12842,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12851,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12853,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12855,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12868,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12885,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12891,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12935,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12943,131000000123,General,General academic,Ciclo General / Sin información,Boys,Full day
12958,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12961,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12963,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12970,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12977,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
12980,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
13103,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
13112,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
13145,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
13146,131000000123,General,General academic,Ciclo General / Sin información,Boys,Full day
13156,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
13168,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
13178,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
13185,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
13188,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
13202,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
13220,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
13305,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
13313,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
13314,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
13324,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
13330,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
13333,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
13341,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
13344,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
13352,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
13356,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
